brand,km_driven,fuel,owner,selling_price
Kia,236752,Diesel,Second Owner,3422089
Lexus,161688,CNG,Fourth Owner,2852031
Jaguar,238754,Petrol,First Owner,1039069
Mitsubishi,16182,Petrol,Second Owner,462691
Honda,95369,CNG,Third Owner,4362429
Ford,234950,Diesel,Fourth Owner,2698642
Volvo,198085,Electric,Second Owner,2179014
Audi,167403,Diesel,Second Owner,3172644
Land Rover,182170,Petrol,Third Owner,3583157
Tata,31128,CNG,Fourth Owner,1171999
Audi,36556,CNG,First Owner,4378997
MG,223577,Diesel,Second Owner,4121020
Toyota,157948,Diesel,Third Owner,1674570
Mitsubishi,145021,CNG,Second Owner,1504475
Citroen,56962,Petrol,Third Owner,1976342
Chevrolet,95054,Electric,Third Owner,3459174
MG,207278,Electric,Third Owner,4921193
Isuzu,29099,Diesel,Fourth Owner,2948475
Tata,240943,CNG,First Owner,4631029
Isuzu,148788,CNG,Fourth Owner,3926387
Land Rover,188683,CNG,First Owner,2240499
Hyundai,174957,Petrol,Third Owner,1714085
Jaguar,58144,Diesel,First Owner,4654651
Citroen,201292,Diesel,Fourth Owner,2222270
Volkswagen,12837,Diesel,Second Owner,2975942
Citroen,185427,Petrol,Fourth Owner,4135889
Audi,183371,Diesel,Fourth Owner,1097197
Kia,155231,Electric,Fourth Owner,1165597
Fiat,130212,Diesel,Fourth Owner,148215
Mercedes,121680,Diesel,Fourth Owner,363367
Volkswagen,111802,Diesel,First Owner,4384466
Honda,107413,Petrol,First Owner,3866469
Chevrolet,56012,Electric,Second Owner,907958
Jeep,135193,Electric,Fourth Owner,3193724
Toyota,195377,CNG,Fourth Owner,4249513
MG,223168,CNG,Second Owner,2848488
Mercedes,153178,Electric,Second Owner,513552
Toyota,63123,Diesel,Third Owner,130796
Hyundai,116825,Diesel,Second Owner,3666111
Datsun,13720,Diesel,Second Owner,3181072
BMW,173733,Petrol,Second Owner,1841888
Porsche,229970,Diesel,Third Owner,2018912
Mahindra,229866,Petrol,First Owner,4748977
Toyota,223390,Electric,Third Owner,196931
Porsche,242776,Diesel,First Owner,4289982
Fiat,157192,Diesel,Second Owner,2882773
MG,155862,CNG,Third Owner,2126046
Isuzu,63655,Electric,Third Owner,3838350
Kia,195715,Diesel,First Owner,3646547
Hyundai,98448,Petrol,Third Owner,3847256
Mahindra,183446,Electric,Third Owner,658549
Datsun,178979,CNG,Fourth Owner,2838807
Toyota,186143,Electric,First Owner,4572155
Chevrolet,125507,Petrol,Third Owner,2477305
Renault,39812,CNG,Third Owner,3960851
Volkswagen,54570,Petrol,Second Owner,642519
Mercedes,55901,Electric,Fourth Owner,3959970
Chevrolet,65186,CNG,Fourth Owner,4703445
Lexus,127066,Petrol,Second Owner,625604
Citroen,133364,Electric,Second Owner,377433
Mitsubishi,186323,Petrol,Second Owner,3609954
Datsun,201243,Diesel,Second Owner,1721750
Mercedes,41160,Electric,Fourth Owner,1213596
Land Rover,24156,CNG,Third Owner,4662509
Renault,81208,CNG,Third Owner,185643
Nissan,216052,Diesel,Second Owner,1510547
MG,208392,Petrol,First Owner,3666223
Volkswagen,154001,Petrol,Second Owner,3133012
Land Rover,202678,CNG,Third Owner,3439335
Mini,224514,Petrol,First Owner,1652816
Isuzu,236226,Electric,Second Owner,4883792
Mitsubishi,198631,Electric,First Owner,3144699
Citroen,190277,CNG,Second Owner,2440102
Citroen,246766,Electric,Fourth Owner,4127662
Citroen,204547,CNG,Third Owner,3233948
Nissan,200413,Petrol,Second Owner,2414659
Tata,100377,Petrol,First Owner,4185390
Fiat,47863,Petrol,Third Owner,4837597
Volkswagen,217909,Diesel,Second Owner,4405041
Nissan,70439,CNG,Second Owner,3067597
Maruti,143266,Electric,Second Owner,2977156
Mitsubishi,207459,Petrol,Second Owner,322316
Audi,126361,Diesel,Fourth Owner,1844188
Tata,217986,Electric,Third Owner,578706
Mini,202286,Electric,Fourth Owner,231777
Maruti,101176,Electric,Third Owner,413654
Kia,235364,Petrol,Second Owner,932725
Mercedes,34777,Electric,Third Owner,2053230
Mini,162255,CNG,First Owner,1119620
Skoda,163517,Diesel,Third Owner,3731526
Volvo,203110,Electric,First Owner,4159107
Jeep,92201,Electric,First Owner,3028004
Mercedes,152270,CNG,Fourth Owner,2610520
Honda,157483,Electric,Third Owner,3305006
Honda,186649,Petrol,Second Owner,1085359
Maruti,20867,Petrol,Third Owner,160216
Force,67501,Petrol,Fourth Owner,4892291
Ford,150338,Electric,First Owner,1410929
Mahindra,44422,Diesel,First Owner,2595202
Audi,171280,Diesel,Fourth Owner,2621880
Isuzu,244610,Electric,Fourth Owner,1735349
Tata,126544,Diesel,Third Owner,2118039
Citroen,167285,Diesel,First Owner,4625946
Audi,143439,Electric,Fourth Owner,4700548
Tata,215098,Petrol,Third Owner,504933
Mercedes,40362,Electric,Third Owner,2192174
Kia,56588,Petrol,Second Owner,3800561
Hyundai,174357,Petrol,First Owner,3616951
Maruti,131683,Diesel,Third Owner,2500396
Renault,210827,Diesel,Fourth Owner,1933920
Lexus,207918,Petrol,First Owner,2123715
Lexus,41307,Petrol,Fourth Owner,4870608
Datsun,231239,Diesel,Fourth Owner,1398513
Mini,85280,CNG,Third Owner,1299968
Ford,155939,Petrol,Third Owner,1167877
Honda,61523,Petrol,Second Owner,354531
Kia,220233,Petrol,Fourth Owner,3526845
Mercedes,142450,Diesel,Third Owner,2102131
Porsche,220757,Electric,Second Owner,798119
Force,112669,Petrol,First Owner,609365
Honda,213030,Petrol,Second Owner,1111684
Maruti,163998,Petrol,Second Owner,2296169
Honda,108215,Electric,Fourth Owner,2195187
Ford,103707,Electric,First Owner,4293211
Volkswagen,149252,Petrol,Fourth Owner,3198999
Chevrolet,97837,Petrol,Fourth Owner,4547284
Honda,123070,CNG,Second Owner,2872463
Maruti,173003,Electric,Second Owner,2136991
Ford,160086,CNG,Third Owner,884512
Isuzu,232544,Petrol,Second Owner,1028220
Lexus,84872,Petrol,Third Owner,2114665
Chevrolet,194574,Petrol,Fourth Owner,1932981
Audi,92736,Petrol,Second Owner,469199
Force,10470,Diesel,First Owner,2681108
Tata,232467,Diesel,First Owner,4340712
Volkswagen,151025,Diesel,Fourth Owner,1109424
Volkswagen,240652,CNG,Fourth Owner,4228617
Isuzu,174579,Electric,Second Owner,4894215
Mahindra,97969,Petrol,Third Owner,701946
Citroen,96493,Electric,Second Owner,950340
Nissan,11523,Diesel,Third Owner,2223657
Volvo,222995,Petrol,Second Owner,2285982
Audi,193262,Petrol,First Owner,1232628
Jeep,183833,CNG,First Owner,3514804
Jaguar,36169,Electric,Third Owner,3067029
Fiat,50641,CNG,Second Owner,2882753
Toyota,159062,Diesel,Fourth Owner,1296360
Datsun,34661,Electric,Third Owner,3707137
Ford,149491,Diesel,First Owner,4323409
Lexus,19457,CNG,Third Owner,2227534
Audi,72600,CNG,Second Owner,2547188
Nissan,108619,Petrol,Fourth Owner,613875
Volkswagen,81102,Electric,Fourth Owner,4313893
Skoda,38085,Electric,Third Owner,794961
Fiat,102064,Petrol,Second Owner,4677277
Toyota,186726,Electric,Second Owner,4728195
Nissan,142202,Diesel,Fourth Owner,4459742
Audi,110723,Diesel,First Owner,2594219
Force,138114,CNG,Second Owner,3469384
Volvo,75134,Diesel,Fourth Owner,2437537
Porsche,47982,Electric,Fourth Owner,1087647
Citroen,234494,Petrol,Second Owner,2239123
Hyundai,70185,CNG,Second Owner,3143276
Mahindra,38477,Petrol,Third Owner,1371089
Nissan,119161,CNG,First Owner,3125452
Datsun,57709,CNG,Third Owner,294886
Mitsubishi,164788,Petrol,Third Owner,4869767
Land Rover,83137,Diesel,Fourth Owner,1841211
BMW,41018,Diesel,Fourth Owner,4832529
Citroen,144133,Diesel,First Owner,3396369
Citroen,144681,Diesel,Third Owner,3438747
Kia,40371,Petrol,Third Owner,1606632
Kia,246422,Electric,Fourth Owner,257438
Jaguar,88021,CNG,Fourth Owner,965936
Datsun,156877,Petrol,Second Owner,3001074
Datsun,12857,Diesel,Third Owner,2871685
Skoda,147692,Diesel,First Owner,1516100
Isuzu,13177,Petrol,Third Owner,3806779
Lexus,166183,CNG,Fourth Owner,4774870
Citroen,93578,Petrol,Second Owner,665972
Mitsubishi,220253,Petrol,Third Owner,654999
Audi,94941,Electric,First Owner,3401370
Datsun,16826,Petrol,Fourth Owner,4722884
Maruti,149962,Electric,Second Owner,2900121
Maruti,87428,CNG,Third Owner,3696466
Mitsubishi,131044,Petrol,First Owner,1704255
Force,194103,Petrol,Fourth Owner,640076
Datsun,248206,Diesel,First Owner,675343
Mitsubishi,80020,Petrol,Third Owner,1787051
Jaguar,10495,Diesel,Fourth Owner,568648
Nissan,33481,Diesel,Third Owner,3625943
Tata,147339,Diesel,Second Owner,2089645
Honda,122897,CNG,Third Owner,972894
Audi,241774,Electric,Second Owner,1161952
BMW,142815,Diesel,Third Owner,1473716
Mercedes,190872,Petrol,First Owner,4374760
Force,108475,Petrol,First Owner,165783
Tata,184845,Diesel,Fourth Owner,2129613
Datsun,62042,Diesel,First Owner,379509
Ford,54476,Petrol,First Owner,3217323
Maruti,228177,Diesel,Second Owner,1003261
Volvo,33552,Electric,First Owner,788863
Mahindra,201314,Electric,Second Owner,438531
Kia,181844,CNG,Second Owner,179942
Mini,179802,Diesel,Second Owner,3578123
Volkswagen,165020,CNG,Third Owner,1837317
Force,212383,CNG,Second Owner,2452537
Porsche,74093,CNG,Third Owner,3300508
Mini,74123,Diesel,Second Owner,1388719
Tata,21535,CNG,Third Owner,1813261
Jaguar,71490,Electric,Fourth Owner,4393279
Jeep,51562,CNG,Fourth Owner,3506936
Datsun,124042,Electric,Third Owner,1401775
Jeep,94080,Electric,Fourth Owner,947094
Isuzu,194607,Diesel,First Owner,180249
Jaguar,235063,CNG,Second Owner,2777965
Kia,46269,Diesel,Third Owner,4167133
Datsun,85674,Electric,Fourth Owner,2181565
Audi,47462,Petrol,Fourth Owner,1920407
Hyundai,139199,CNG,First Owner,213094
Honda,28147,Diesel,Second Owner,3458786
Jeep,181600,Petrol,First Owner,3333325
Ford,82095,CNG,Third Owner,3719794
Jeep,249172,CNG,Fourth Owner,2461386
Mini,205003,Diesel,Fourth Owner,1957462
Jeep,95925,Petrol,Fourth Owner,4764763
Force,71381,Diesel,First Owner,2975625
Jeep,104468,CNG,First Owner,813926
Hyundai,247330,CNG,Second Owner,553104
Hyundai,68749,Electric,Third Owner,1049511
Citroen,174744,CNG,Second Owner,990992
Porsche,18731,CNG,Second Owner,4291180
Lexus,129647,Petrol,Fourth Owner,2986931
Ford,190584,Petrol,First Owner,3124017
Maruti,234730,Electric,Third Owner,736260
Maruti,56024,Electric,Second Owner,3511973
Volvo,121712,Electric,Third Owner,3156109
Datsun,106121,Diesel,Fourth Owner,2298635
Hyundai,8832,Diesel,Second Owner,341411
Land Rover,37332,Electric,First Owner,1793766
Kia,17467,Diesel,Second Owner,326218
Isuzu,46025,CNG,Fourth Owner,1428467
BMW,149179,Electric,Second Owner,3391809
Lexus,82994,Electric,Fourth Owner,4121347
Toyota,99202,Diesel,Second Owner,3748838
Lexus,48481,Petrol,Third Owner,3640000
Skoda,138653,Electric,First Owner,3978131
Mini,80118,Diesel,Fourth Owner,3993973
Force,129010,Diesel,Third Owner,3171607
Jeep,187710,Petrol,Fourth Owner,1027580
BMW,128714,Electric,Second Owner,1003044
Mini,144490,Petrol,Fourth Owner,1521261
Ford,229699,CNG,Fourth Owner,4460625
Jaguar,165185,Petrol,First Owner,4500994
Hyundai,89363,Petrol,Third Owner,2187745
BMW,128607,Diesel,Second Owner,565802
Porsche,68044,Petrol,First Owner,2518608
Skoda,216027,CNG,Fourth Owner,279170
Renault,197102,Diesel,First Owner,4830006
Renault,16814,CNG,Fourth Owner,3413718
Maruti,104340,Petrol,Second Owner,1557668
Tata,15024,CNG,Fourth Owner,2976863
Citroen,199360,CNG,First Owner,3893954
Force,114236,Petrol,First Owner,2992782
BMW,62836,Petrol,Fourth Owner,3863318
Renault,12435,Diesel,Third Owner,2820964
Fiat,203156,Diesel,First Owner,4462805
Honda,75601,Electric,Third Owner,4267510
Jaguar,224488,Diesel,Third Owner,2931213
Citroen,125871,Petrol,Third Owner,1364439
Force,139479,CNG,Third Owner,4679841
Toyota,103943,CNG,First Owner,3624177
Volvo,37940,Diesel,First Owner,860669
Isuzu,10666,Diesel,Third Owner,1070413
Honda,42122,Petrol,First Owner,3205472
Volvo,123647,CNG,Third Owner,4926761
Jaguar,161164,Electric,Third Owner,131528
Audi,134753,Electric,Third Owner,4797715
Jaguar,128402,Diesel,Fourth Owner,4692473
Tata,211717,Electric,Second Owner,750016
Maruti,106190,Petrol,First Owner,2382039
Mercedes,105468,Electric,First Owner,1432736
Audi,134207,Diesel,Third Owner,506464
MG,31505,Petrol,Fourth Owner,2607644
Mercedes,41713,CNG,Fourth Owner,720832
Maruti,190459,Petrol,First Owner,3998837
Skoda,48169,Diesel,Third Owner,3720966
Citroen,209354,Diesel,First Owner,1852212
Mitsubishi,82511,Electric,Third Owner,2742969
Mitsubishi,187814,Electric,Third Owner,2364238
MG,45522,CNG,Second Owner,3527968
Lexus,217204,CNG,Third Owner,2817093
Datsun,239561,Diesel,Second Owner,2112813
Mahindra,104397,Diesel,First Owner,3773433
Honda,8880,Diesel,First Owner,4889545
Audi,179526,CNG,Fourth Owner,2046678
Citroen,191783,Diesel,Second Owner,2102507
Renault,48539,CNG,First Owner,4749790
Isuzu,245056,Diesel,Second Owner,1468983
Renault,204393,Petrol,First Owner,3102824
Mitsubishi,224057,Petrol,Second Owner,1211903
Jaguar,19799,Diesel,Second Owner,4656909
Citroen,109843,Petrol,Third Owner,2296251
Jeep,196174,CNG,First Owner,3322653
Hyundai,186798,Electric,Fourth Owner,2510331
Maruti,53784,Petrol,Third Owner,2569159
Renault,118034,Electric,Fourth Owner,2727484
Datsun,179405,Petrol,Second Owner,4205001
Kia,176900,CNG,Third Owner,913941
Ford,205598,Petrol,Second Owner,4846436
Ford,59362,Petrol,First Owner,1563396
Force,58997,Diesel,First Owner,3705052
Lexus,186413,Electric,Fourth Owner,2329430
Tata,155145,Electric,First Owner,2049595
Tata,107399,CNG,Fourth Owner,2537928
Honda,19549,CNG,Second Owner,3822248
Volvo,219867,Electric,Third Owner,4067388
Renault,61920,Diesel,First Owner,1758789
Renault,221398,Diesel,Second Owner,3021277
Honda,211587,Electric,Third Owner,4378837
Jaguar,156388,Petrol,Second Owner,4656467
Mini,162255,Electric,Fourth Owner,2440967
Porsche,98860,Petrol,Second Owner,4381469
Mini,29624,Electric,Fourth Owner,3262788
Maruti,198587,Petrol,Fourth Owner,2964048
Mini,239784,Diesel,First Owner,2408365
Jaguar,221853,Electric,Fourth Owner,3936369
Skoda,51705,CNG,Fourth Owner,3942848
Jeep,94326,Petrol,Second Owner,4762389
Mercedes,162828,Diesel,Fourth Owner,4343297
Toyota,65390,CNG,Fourth Owner,703747
BMW,73369,Diesel,Second Owner,2708108
Mercedes,206893,Petrol,Third Owner,1052303
Jaguar,14589,Electric,First Owner,1592452
Datsun,118012,Diesel,Second Owner,2566902
Honda,150188,Electric,Fourth Owner,3184521
Renault,78181,Electric,Second Owner,854719
Datsun,180858,Diesel,Third Owner,4259844
Mitsubishi,230758,Diesel,Second Owner,3499118
Honda,128711,Diesel,Second Owner,4465251
Mitsubishi,81425,Electric,Second Owner,1711302
Fiat,166358,CNG,Second Owner,4470525
MG,239153,Petrol,Fourth Owner,3325097
Chevrolet,20994,CNG,Second Owner,3001718
MG,237111,Electric,Third Owner,3596179
Hyundai,116915,Diesel,Second Owner,906244
Porsche,127961,Diesel,Second Owner,668810
Honda,226270,Petrol,Fourth Owner,3334111
Renault,109672,Petrol,Fourth Owner,2415399
Fiat,31639,CNG,Second Owner,595911
Tata,22205,CNG,Fourth Owner,1391364
Toyota,61677,Petrol,Fourth Owner,2368314
Maruti,37930,Electric,Second Owner,2485495
Toyota,78313,CNG,Fourth Owner,4831280
Maruti,229923,Diesel,First Owner,4173019
Chevrolet,118153,Diesel,First Owner,4551042
Land Rover,228581,Electric,First Owner,2781979
Renault,23316,Petrol,Fourth Owner,755423
Jaguar,163376,CNG,First Owner,2012696
Mini,237911,Diesel,Third Owner,1381979
Mercedes,101058,Petrol,First Owner,1294607
Audi,92876,CNG,Third Owner,3408080
Honda,90366,Electric,Fourth Owner,586676
Jeep,18403,Diesel,First Owner,537474
Maruti,85052,Electric,Third Owner,2355691
Renault,220699,Electric,Fourth Owner,203813
Kia,78495,Electric,First Owner,3179316
Force,168004,CNG,Second Owner,156682
Volvo,101090,Electric,First Owner,1811567
Porsche,41701,CNG,First Owner,1959982
Lexus,139457,CNG,First Owner,1511897
Porsche,235298,Electric,Second Owner,2626404
Chevrolet,62241,Electric,Third Owner,1233190
Datsun,146439,Petrol,Third Owner,4959938
BMW,70030,Diesel,Second Owner,4093976
BMW,182577,Petrol,First Owner,3818542
Nissan,169404,Diesel,First Owner,2135575
Volvo,221250,Diesel,First Owner,2583716
Porsche,212397,Petrol,Third Owner,441574
Mercedes,171340,Petrol,Third Owner,596368
Force,222558,Diesel,Second Owner,4980222
Force,161635,Diesel,Fourth Owner,684095
Hyundai,110185,Diesel,Second Owner,1585737
Land Rover,41404,CNG,Third Owner,4244458
Datsun,60182,Diesel,First Owner,1755531
Maruti,37991,Electric,First Owner,1035209
Citroen,109601,Electric,First Owner,2385303
Volkswagen,183735,Electric,First Owner,3375063
Maruti,70886,Petrol,Fourth Owner,2066040
Ford,127002,Petrol,Second Owner,4556981
Citroen,88848,Petrol,Second Owner,3558842
Fiat,160199,Diesel,Third Owner,1701640
Renault,62692,Electric,Second Owner,2289686
Volvo,230461,Diesel,Fourth Owner,2632796
Toyota,42500,CNG,Fourth Owner,877275
Honda,38785,CNG,Fourth Owner,1768487
Jeep,89146,Petrol,First Owner,4921803
Jeep,225198,CNG,Third Owner,1893834
Kia,231051,Electric,Fourth Owner,2371898
Citroen,52997,CNG,Second Owner,1387852
Datsun,12170,Petrol,Second Owner,4391823
Fiat,149375,Diesel,Second Owner,2679943
Chevrolet,76743,CNG,Fourth Owner,3472752
Land Rover,213924,Electric,Fourth Owner,3138460
BMW,40187,Electric,Second Owner,3896819
Honda,201106,Electric,Fourth Owner,1724937
Citroen,207848,Diesel,Second Owner,3780063
Tata,137965,Electric,First Owner,570908
Ford,149825,Petrol,Fourth Owner,3333327
Mini,43090,Petrol,First Owner,1197020
Fiat,200994,Electric,First Owner,287920
Jeep,212840,CNG,Fourth Owner,1344504
Chevrolet,64412,Electric,Second Owner,2165988
Land Rover,61030,Petrol,Third Owner,311540
Honda,22509,Petrol,First Owner,1522617
Citroen,73653,Petrol,Fourth Owner,4731759
Maruti,173001,CNG,First Owner,2038359
Jaguar,134626,CNG,Second Owner,4876487
Fiat,184363,CNG,Fourth Owner,4140660
Land Rover,9042,Petrol,Third Owner,1582735
Lexus,198646,Diesel,Fourth Owner,777861
Maruti,42201,Electric,First Owner,393236
Honda,228354,Electric,Fourth Owner,3018188
MG,19016,Petrol,Fourth Owner,2547120
Mitsubishi,30022,CNG,First Owner,2506056
Mahindra,237034,Diesel,Third Owner,2203628
Porsche,32938,Diesel,Second Owner,4015461
Isuzu,179750,CNG,Fourth Owner,4392442
Honda,123171,Electric,Third Owner,1401609
Mercedes,237320,Electric,Second Owner,1256196
Chevrolet,66720,Diesel,First Owner,3321226
Mini,110514,Diesel,Third Owner,2225591
MG,192877,CNG,Third Owner,4297704
Volkswagen,210395,Electric,Fourth Owner,3113002
Porsche,138058,Diesel,First Owner,1173186
Lexus,81478,Electric,Fourth Owner,4869948
Hyundai,219066,Diesel,First Owner,3527600
Force,148233,CNG,Second Owner,3887718
Mahindra,156761,Electric,Fourth Owner,4777359
Hyundai,132101,Diesel,First Owner,1650068
Isuzu,99699,Diesel,First Owner,4922641
Jeep,196996,Diesel,Third Owner,2174135
Mercedes,237383,Diesel,Fourth Owner,3664324
Maruti,104273,CNG,Fourth Owner,684141
Tata,210380,Electric,Second Owner,3667867
Skoda,237200,Electric,First Owner,1079898
Porsche,68745,Petrol,Third Owner,3546763
Renault,137283,Electric,First Owner,3906018
Audi,136301,Petrol,First Owner,1577110
Fiat,123972,Diesel,First Owner,3045537
Mahindra,184614,CNG,Fourth Owner,4343412
Lexus,150417,CNG,First Owner,2826727
Isuzu,106489,Diesel,Second Owner,3648801
Honda,36819,Petrol,Third Owner,3596091
MG,52779,Diesel,Third Owner,1512764
Mitsubishi,218493,CNG,First Owner,1036388
Mini,97244,CNG,Third Owner,877499
Nissan,70584,Electric,First Owner,760667
Citroen,156022,Petrol,Fourth Owner,1947912
Isuzu,151245,Electric,Third Owner,2149497
Audi,63032,CNG,Fourth Owner,456858
Mitsubishi,120074,CNG,Fourth Owner,2650916
Toyota,104273,Electric,Second Owner,2603950
Nissan,33036,Electric,Second Owner,420109
Jaguar,248929,CNG,Third Owner,2960959
Maruti,76356,Electric,First Owner,339027
Mercedes,150364,Electric,First Owner,3942702
Chevrolet,8052,Petrol,First Owner,2634312
Renault,49377,CNG,First Owner,1233300
Chevrolet,225389,Diesel,Second Owner,4530819
Kia,203910,Petrol,First Owner,1656307
Volvo,72819,Diesel,First Owner,2696500
Lexus,118689,Electric,Fourth Owner,2399963
Volkswagen,244175,Electric,First Owner,3951861
Citroen,151692,Diesel,First Owner,2991455
Hyundai,35461,Electric,Second Owner,835558
Hyundai,25750,Electric,Third Owner,4396622
Lexus,234498,Petrol,Fourth Owner,4405680
Porsche,224791,Diesel,Fourth Owner,2570654
Volvo,14472,Petrol,Third Owner,4428881
Mitsubishi,74263,Diesel,Fourth Owner,2631846
Isuzu,117036,Petrol,First Owner,2080498
Datsun,193674,CNG,First Owner,3606441
Fiat,30523,CNG,Third Owner,3517370
Porsche,166838,Diesel,Second Owner,2965548
Isuzu,108262,CNG,Second Owner,2193013
Isuzu,71060,Petrol,Fourth Owner,2384282
Porsche,14079,Diesel,Second Owner,717854
Jeep,144471,CNG,Second Owner,1264074
Jaguar,65726,CNG,Second Owner,4905188
Mahindra,97906,Diesel,Second Owner,316382
BMW,21532,CNG,Second Owner,409061
Volkswagen,127689,CNG,Second Owner,2689282
Porsche,218429,Diesel,Second Owner,4011872
Skoda,48162,CNG,Fourth Owner,225154
Citroen,139821,CNG,First Owner,4897621
Ford,16353,CNG,Second Owner,2693699
Maruti,117313,CNG,First Owner,1416444
Mercedes,33477,Electric,Third Owner,233099
Land Rover,160642,Diesel,First Owner,1294455
Citroen,91373,Electric,Third Owner,4357413
Kia,147509,Electric,Fourth Owner,1714713
Kia,174176,Petrol,First Owner,362322
Ford,199442,Electric,Third Owner,697009
Audi,9551,Electric,First Owner,1929326
Toyota,73359,Petrol,Fourth Owner,750050
BMW,190952,CNG,First Owner,2725424
Nissan,148988,CNG,Third Owner,3070525
Jaguar,131150,Electric,Second Owner,3190428
Datsun,216775,Petrol,Second Owner,4119592
Volkswagen,177517,CNG,Second Owner,4526663
Honda,52636,Petrol,Fourth Owner,2080715
Lexus,209999,Diesel,Second Owner,829438
Mercedes,214266,Diesel,Fourth Owner,1989688
Jaguar,34685,Diesel,Second Owner,3253716
Renault,56134,Diesel,Fourth Owner,3239503
Nissan,93916,Electric,Fourth Owner,3277798
MG,112967,Diesel,First Owner,4894544
Citroen,99455,Diesel,Second Owner,3504202
Mahindra,203919,Petrol,First Owner,198113
Datsun,176065,CNG,Third Owner,4743233
Volvo,180405,Petrol,Second Owner,4011927
Jeep,244646,Electric,Second Owner,3268464
Mini,194937,Diesel,Second Owner,3225463
Volvo,215168,CNG,Second Owner,825704
Citroen,54756,CNG,First Owner,1992789
Isuzu,127863,Diesel,First Owner,3448073
Lexus,66192,Diesel,Fourth Owner,3442299
Isuzu,196758,Electric,First Owner,3500062
Ford,53733,Electric,Fourth Owner,2774932
Isuzu,240161,Diesel,Third Owner,2033308
Land Rover,30993,Diesel,First Owner,2639585
Datsun,166564,Diesel,Fourth Owner,1339981
Lexus,157053,Diesel,Second Owner,3619345
Tata,29143,CNG,Third Owner,3845985
Kia,213675,Electric,Fourth Owner,3996001
Land Rover,225524,Diesel,Third Owner,1014065
Maruti,196349,Diesel,Second Owner,1106224
Isuzu,112044,CNG,Second Owner,3630311
Isuzu,248029,Petrol,Fourth Owner,1721345
Maruti,186062,Diesel,Fourth Owner,1354305
Volkswagen,133406,CNG,Second Owner,3798628
Hyundai,198960,CNG,Fourth Owner,187743
Datsun,74351,Petrol,Second Owner,4174027
Porsche,233444,Electric,First Owner,379708
Renault,186071,Electric,Fourth Owner,3504733
Mitsubishi,239085,Electric,Third Owner,1721467
Mercedes,238883,Diesel,Second Owner,4205231
Nissan,240951,Electric,First Owner,3705581
Land Rover,75309,Diesel,Fourth Owner,2035411
Maruti,148518,Diesel,Second Owner,1804449
Renault,166805,CNG,First Owner,2917527
Fiat,124156,Electric,Fourth Owner,373468
Audi,81000,Electric,Second Owner,3785507
Ford,184704,Electric,Second Owner,2538525
Porsche,26576,Diesel,Second Owner,3458259
Fiat,8320,Diesel,Fourth Owner,358590
Lexus,146822,Electric,First Owner,2076952
Honda,108002,Diesel,Second Owner,3419858
Kia,189535,Diesel,First Owner,2327199
Isuzu,31572,Petrol,First Owner,4829950
Renault,22948,Petrol,Third Owner,3317071
Volvo,121528,Electric,First Owner,345258
Ford,174898,Electric,First Owner,1699367
Porsche,94051,Petrol,First Owner,934337
Mitsubishi,32867,Diesel,First Owner,3046252
